episode,timestep,reward
145,2000,16.3064
298,4000,16.0071
417,6000,18.1665
539,8000,17.9939
642,10000,19.6031
742,12000,20.0823
820,14000,23.3903
903,16000,22.4294
963,18000,26.5287
1025,20000,27.915
1073,22000,31.9188
1125,24000,27.7045
1167,26000,36.532
1215,28000,35.357
1253,30000,40.9228
1288,32000,44.5651
1325,34000,42.1356
1359,36000,44.4049
1389,38000,46.6789
1419,40000,40.6359
1443,42000,59.1758
1468,44000,58.6323
1497,46000,50.3582
1525,48000,55.8962
1553,50000,49.9699
1583,52000,52.8436
1610,54000,62.0506
1638,56000,55.5015
1664,58000,57.3051
1689,60000,56.2894
1716,62000,61.8367
1741,64000,56.8327
1766,66000,65.9728
